_Kode,_Judul,_Tahun,_Seniman,_Ukuran,_Media,_Pameran,_Lokasi,_Deskripsi,@images,_PDF,_Link,@QR-Images
LK/057/DAD/97/BBY/TM,Samudera Hati,1997,Dipo Andy,120 x 70 cm,Cat minyak di atas kanvas,TANDA MATA I,C06-2,,/TM-Low/LK057DAD97BBYTM.jpeg,LK_057_DAD_97_BBY_TM.pdf,https://drive.google.com/file/d/1DIde6GV-MGsIHJgGXkGPbiIQmJtCuGVM/view?usp=drivesdk,
LK/058/YRP/95/BBY/TM,Figur-Figur Primitif,1995,Yerry Padang,120 x 100 cm,Cat minyak  di atas kanvas,TANDA MATA I,C06-2,"Sosok-sosok primitif, purba, dengan warna gelap dan cenderung mistis, ditampilkan Yerry dalam karyanya yang berjudul Figur-figur Primitif. Beberapa sosok digoreskan dengan garis kuat bertenaga, cenderung liar dengan warna bertumpuk selapis demi selapis membentuk citra primitif.",/TM-Low/LK058YRP95BBYTM.jpeg,LK_058_YRP_95_BBY_TM.pdf,https://drive.google.com/file/d/16FVAcsarUzGVJqWRdtqGWKRt6vy-uZxl/view?usp=drivesdk,
LK/059/YYS/96/BBY/TM,Ritual Atribute,1996,Yayat Surya,92 x 84 cm,Akrilik di atas kanvas,TANDA MATA I,C06-2,,/TM-Low/LK059YYS96BBYTM.jpeg,LK_059_YYS_96_BBY_TM.pdf,https://drive.google.com/file/d/1jNWnRYg9PkEulvZ5BrNxF9hNZxafWLri/view?usp=drivesdk,
LK/060/GLJ/97/BBY/TM,Rekayasa pada Waktu,1997,Galam Zulkifli,125 x 100 cm,Cat minyak  di atas kanvas,TANDA MATA I,C07-1,"Lukisan ini karya awal Galam yang masih menggunakan ragam warna yang efektif, dalam impresi yang kusam, gelap dan muram. Ada terselip suasana surealis, mencekam, terutama pada penggambaran artefak-artefak atau senapan, atau benda entah apa, yang menghunjam pada sebuah lingkaran jam.",/TM-Low/LK060GLJ97BBYTM.jpeg,LK_060_GLJ_97_BBY_TM.pdf,https://drive.google.com/file/d/1Urf__PDHKWfSTYvoEEQSNquWIasiORTT/view?usp=drivesdk,
LK/061/OLR/97/BBY/TM,Orkes Keliling,1997,Odji Lirungan,60 x 90 cm,Cat minyak pada papan,TANDA MATA II,D13-2,"Tubuh-tubuh yang tampak bergerak lentur dan dinamis, dibalut warna-warna cerah memberi kesan kemeriahan sebuah pesta rakyat, dangdutan yang sering kita jumpai di lapangan pinggiran kota besar. Serba penuh dan ramai, sosok pemusik dan penonton yang sibuk berjoget, saling bersentuhan, membentuk pola-pola yang terkesan penuh gerak. Keramaian dan kemeriahan semacam ini memenuhi karya-karya Odji Lirungan dari periode ini.",/TM-Low/LK061OLR97BBYTM.jpeg,LK_061_OLR_97_BBY_TM.pdf,https://drive.google.com/file/d/1we2ucx-JVl9Phk1DxoneTd54q2QwSBte/view?usp=drivesdk,
LK/062/HDB/97/BBY/TM,Syahidallah,1997,Hendra Buana,70 x 100 cm,Cat minyak di atas kanvas,TANDA MATA II,C06-2,"Seni kaligrafi tumbuh subur pada era 1980-an dan tetap dipertahankan oleh beberapa pelukis sebagai pilihan tema sentral berkarya. Hendra Buana, lulusan ISI Yogyakarta, sejak awal terpikat untuk berkarya dengan menyelipkan ayat-ayat yang dikutip dari Kitabullah AL-Quran dalam komposisi indah. la menggunakan efek tekstur berupa penebalan cat pada beberapa bidang gambar, ditambah beberapa efek warna seperti emas dan merah sebagai aksentuasi atau penekanan penarik perhatian.",/TM-Low/LK062HDB97BBYTM.jpeg,LK_062_HDB_97_BBY_TM.pdf,https://drive.google.com/file/d/1QSCAiLFlZia6viaQxbA4-SwMrX15_1PT/view?usp=drivesdk,
LK/063/SRH/96/BBY/TM,Kepompong,1996,Sri Hartati,102 x 82 cm,Cat minyak di atas kanvas,TANDA MATA II,C07-1,,/TM-Low/LK063SRH96BBYTM.jpeg,LK_063_SRH_96_BBY_TM.pdf,https://drive.google.com/file/d/1VFtQgZ6BE_f_DdPM3w1maezE3Ws4ABYd/view?usp=drivesdk,
LK/064/JTS/97/BBY/TM,Hidangan Terakhir I,1997,Justina Tri Sudjatmi,100 x 100 cm,Cat minyak di atas kanvas,TANDA MATA II,C07-1,,/TM-Low/LK064JTS97BBYTM.jpeg,LK_064_JTS_97_BBY_TM.pdf,https://drive.google.com/file/d/1AykDbwjr0XstBPslgW3xplMY3aDgSKfi/view?usp=drivesdk,
LK/065/STD/95/BBY/TM,Easy Mark,1995-97,S. Teddy D.,100 x 90 cm,Cat minyak di atas kanvas,TANDA MATA II,C07-1,"S. Teddy adalah seniman muda yang selalu gelisah dan mencoba berbagai kemungkinan perupaan, baik dalam lukisan maupun kaya-karya obyek trimatranya. Karya lukisnya seringkali berisi berbagai bercak dan baluran warna, yang kemudian diberi imbuhan sosok torso, atau kepala, dan berbagai bentuk geometris sederhana, dengan goresan tebal berwarna pekat.Sering juga karyanya diramaikan dengan berbagai teks. Kesemuanya bisa  mengingatkan kita kepada kekaburan dan keramaian tanda-tanda visual dalam grafiti dinding-dinding kota.",/TM-Low/LK065STD95BBYTM.jpeg,LK_065_STD_95_BBY_TM.pdf,https://drive.google.com/file/d/1mQWomhwn-WWzU2VhtSNj26TwYzUPQUdy/view?usp=drivesdk,
LK/066/ZUL/98/BBY/TM,Surat Al-Ashr,1998,Zulkarnaini,60 x 70 cm,Cat minyak di atas kanvas,TANDA MATA II,C07-1,,/TM-Low/LK066ZUL98BBYTM.jpeg,LK_066_ZUL_98_BBY_TM.pdf,https://drive.google.com/file/d/15SY-ex19F0d7Qzr4ta9ZAPyPEL0GNUzw/view?usp=drivesdk,
LK/067/TSD/90/BBY/TM,Perahu,1990,Tino Sidin,24 x 34 cm,Spidol di atas kertas,TANDA MATA II,C07-1,,/TM-Low/LK067TSD90BBYTM.jpeg,LK_067_TSD_90_BBY_TM.pdf,https://drive.google.com/file/d/1LNi6hQgF6Q5uCMPmWvJfhTUqgSxKtk96/view?usp=drivesdk,
LK/068/SNM/98/BBY/TM,Saling,1998,Siti Neneng Maya,50 x 50 cm,Akrilik di atas kanvas,TANDA MATA II,C07-1,,/TM-Low/LK068SNM98BBYTM.jpeg,LK_068_SNM_98_BBY_TM.pdf,https://drive.google.com/file/d/1IEbPGWBPUVaZA3BuOjN_A1VX6et0lhmv/view?usp=drivesdk,
LK/069/PTS/98/BBY/TM,Minoritas,1998,Putu Sutawijaya,145 x 100 cm,Mixmedia di atas kanvas,TANDA MATA II,C07-2,,/TM-Low/LK069PTS98BBYTM.jpeg,LK_069_PTS_98_BBY_TM.pdf,https://drive.google.com/file/d/1xfd4DKA-S8diLN9ZhV7eAfI1P9mjWyXj/view?usp=drivesdk,
LK/070/SPL/96/BBY/TM,Seri Benda-Benda,1996-97,Syahrizal Pahlevi,70 x 70 cm,Cat minyak di atas papan,TANDA MATA II,C07-2,,/TM-Low/LK070SPL96BBYTM.jpeg,LK_070_SPL_96_BBY_TM.pdf,https://drive.google.com/file/d/1IsA3YTCA-gX0De1Iqt86u6Bsa-evAXjz/view?usp=drivesdk,
LK/071/TDM/98/BBY/TM,Suasana Tayuban,1998,Treeda Mayrayanti,90 x 70 cm,Akrilik di atas kanvas,TANDA MATA II,C07-2,,/TM-Low/LK071TDM98BBYTM.jpeg,LK_071_TDM_98_BBY_TM.pdf,https://drive.google.com/file/d/1iMJhHNPbQ2MHvBbgUSxGp5aMU_7_Yy6e/view?usp=drivesdk,
LK/072/LKN/98/BBY/TM,Tears of Sadness,1998,Linda Kaun,43 x 43 cm,batik - katun,TANDA MATA XI,A17-2,,/TM-Low/LK072LKN98BBYTM.jpeg,LK_072_LKN_98_BBY_TM.pdf,https://drive.google.com/file/d/1gWcVrbZtzCBpcnjLFHvtd2vT0qUa1rp5/view?usp=drivesdk,
LK/073/RGN/98/BBY/TM,Paper Boat,1998,Regina Bimadona,60 x 40 cm,Cat minyak di atas kanvas,TANDA MATA II,C07-2,"Seorang wanita yang duduk lunglai, termangu menatap perahu kertas yang hanyut di hadapannya. Perahu itu mungkin membawa harapan, atau cinta, atau sekedar surat kekasih yang hendak dilupakan, dilarungkan ke laut lepas. Atau, ia sendiri yang ingin berlayar dengan perahu itu untuk-meminjam baris sajak Sapardi Djoko Damono-""pergi, menghitung jarak dengan sunyi"". Seorang sahabat (atau alter-ego?) sekalipun hanya bisa menatap haru.",/TM-Low/LK073RGN98BBYTM.jpeg,LK_073_RGN_98_BBY_TM.pdf,https://drive.google.com/file/d/1dCMMIvXgQrqD_dN3rFv62aoIzORyBJA7/view?usp=drivesdk,
LK/074/BGK/95/BBY/TM,Penari Bali (sketsa),1995,Bagong Kussudiardja,42 x 29 cm,Cat air di atas kertas,TANDA MATA II,C07-2,,/TM-Low/LK074BGK95BBYTM.jpeg,LK_074_BGK_95_BBY_TM.pdf,https://drive.google.com/file/d/1X7H8mNXVjEAGxateX5PcTapgMWg_sx3T/view?usp=drivesdk,
LK/075/YUS/99/BBY/TM,Menukik,1999,Yuswantoro Adi,50 x 60 cm,Cat minyak di atas kanvas,TANDA MATA II,C07-2,Karya Yuswantoro juga menerapkan teknik realisme yang kuat. Keunikan lain dalam karyanya adalah diselipkannya unsur-unsur humor dan pemahaman simbolik mengenai situasi dan kondisi masyarakat. la melukiskan seorang bocah yang lucu sedang menatap sebuah pesawat origami yang dibuat dari kertas uang dan diberi judul Menukik. Dari judulnya kita memahami bahwa mata uang rupiah sedang anjlok pada titik nadir yang membuat perekonomian kita morat-marit.,/TM-Low/LK075YUS99BBYTM.jpeg,LK_075_YUS_99_BBY_TM.pdf,https://drive.google.com/file/d/1tIbJQq1JAngBwV4KyhGlJEX0HHiQWKpW/view?usp=drivesdk,
LK/076/VSJ/98/BBY/TM,Totem,1998,V. Sarjono (JON),75 x 90 cm,batik - katun,TANDA MATA XI,C08-1,,/TM-Low/LK076VSJ98BBYTM.jpeg,LK_076_VSJ_98_BBY_TM.pdf,https://drive.google.com/file/d/1HrSgG3LwKk_UB0JVSKDeEBwVcEt7eTXw/view?usp=drivesdk,
LK/077/SGO/98/BBY/TM,Panutan,1998,Sugiono,100 x 110 cm,Cat minyak di atas kanvas,TANDA MATA II,C08-1,,/TM-Low/LK077SGO98BBYTM.jpeg,LK_077_SGO_98_BBY_TM.pdf,https://drive.google.com/file/d/1UH2-XdgAO3_h3EPOyLquBM07mIx5o_CF/view?usp=drivesdk,
LK/078/JNW/99/BBY/TM,Kelahiran,1999,Juni Wulandari,120 x 120 cm,Cat minyak di atas kanvas,TANDA MATA II,C08-1,,/TM-Low/LK078JNW99BBYTM.jpeg,LK_078_JNW_99_BBY_TM.pdf,https://drive.google.com/file/d/1MBGIme_NhcAkhKVd7HN0HhIKW0E5Z892/view?usp=drivesdk,
LK/079/SHM/96/BBY/TM,Persahabatan yang Sesaat,1996,Suharmanto,70 x 95 cm,Cat minyak di atas kanvas,TANDA MATA II,C08-1,,/TM-Low/LK079SHM96BBYTM.jpeg,LK_079_SHM_96_BBY_TM.pdf,https://drive.google.com/file/d/141_tYhxSL6eCaQVwwnYH7IRtis-E4aMo/view?usp=drivesdk,
LK/080/HJM/99/BBY/TM,Ritus di Rumah Allah,1999,Harjiman,180 x 195 cm,Cat minyak di atas kanvas,TANDA MATA II,C09-1,,/TM-Low/LK080HJM99BBYTM.jpeg,LK_080_HJM_99_BBY_TM.pdf,https://drive.google.com/file/d/13TdkK2yboW3t80BqYy4V4kvzwwKU-hok/view?usp=drivesdk,
LK/081/KES/93/BBY/TM,Parangtritis,1993,Koestiyah E.S.,45 x 70 cm,Cat minyak di atas kanvas,TANDA MATA II,C08-2,,/TM-Low/LK081KES93BBYTM.jpeg,LK_081_KES_93_BBY_TM.pdf,https://drive.google.com/file/d/16krjlaqALH7tKfET-epGAchIjslPQSyu/view?usp=drivesdk,
LK/082/NNT/97/BBY/TM,Batas Kehidupan,1997,Nana Tedja,90 x 80 cm,Akrilik di atas kanvas,TANDA MATA II,C08-2,"Kesan purba dan mistis muncul melalui lukisan ini dengan tampilan sosok yang menyerupai totem dan guratan sosok-sosok yang menyerupai coretan gambar di dinding gua manusia purba. Kesan ini makin kuat karena penggunaan warna yang monokromatik, kehitaman, bagai arang.",/TM-Low/LK082NNT97BBYTM.jpeg,LK_082_NNT_97_BBY_TM.pdf,https://drive.google.com/file/d/1Q3TPA5FXNdW4IEGOd4sK1TtQN97uMfaO/view?usp=drivesdk,
LK/083/ANG/90/BBY/TM,Komposisi I,1990,Asri Nugroho,50 x 60 cm,Akrilik di atas kanvas,TANDA MATA II,C08-2,,/TM-Low/LK083ANG90BBYTM.jpeg,LK_083_ANG_90_BBY_TM.pdf,https://drive.google.com/file/d/1cGg5gUKW5S6EVG8jPpULl1ktoGpMuKrA/view?usp=drivesdk,
LK/084/SDG/99/BBY/TM,Kutu Loncat,1999,Sudargono,130 x 100 cm,Cat minyak di atas kanvas,TANDA MATA II,C09-2,"Gaya lukis abstrak-ekspresionis rupanya masih memukau perupa ini. Kesan ekspresif muncul melalui lumuran cat yang terkesan liar dan tak beraturan. Pada judul tersurat adanya narasi yang ingin disampaikan, tetapi tak mudah menemukan jejak bentuk atau wujud yang kita kenali untuk mengikutinya.",/TM-Low/LK084SDG99BBYTM.jpeg,LK_084_SDG_99_BBY_TM.pdf,https://drive.google.com/file/d/16cxLuAzkmb9wQW-r6-zJQ8jWa4D1oybL/view?usp=drivesdk,
LK/085/MRM/99/BBY/TM,Dialog Sejenak,1999,Maman Rahman,70 x 90 cm,Cat minyak di atas kanvas,TANDA MATA II,C09-2,"Dari segi gaya dan tema, lukisan ini adalah penerusan dari gaya dan tema kerakyatan yang telah digoreskan Sudjojono, Hendra, atau Djoko Pekik. Potret keseharian masyarakat yang bersahaja memang sering jadi pokok utama lukisan genre ini.",/TM-Low/LK085MRM99BBYTM.jpeg,LK_085_MRM_99_BBY_TM.pdf,https://drive.google.com/file/d/1We16rbf3jUIs78HrV9HIfWD7nQTJ2lus/view?usp=drivesdk,
LK/086/EKN/00/BBY/TM,Terima Kasih Banyak,2000,Eko Nugroho,"59 x 39,5 cm",Pastel di atas kertas,TANDA MATA II,C08-2,,/TM-Low/LK086EKN00BBYTM.jpeg,LK_086_EKN_00_BBY_TM.pdf,https://drive.google.com/file/d/1zaRxZKw4YQWX4ZB0l56SbKiaQpy1iRzj/view?usp=drivesdk,
LK/087/AEW/00/BBY/TM,Pritty Stone,2000,Anis Eko Windu,80 x 60 cm,Cat minyak di atas kanvas,TANDA MATA II,C09-1,,/TM-Low/LK087AEW00BBYTM.jpeg,LK_087_AEW_00_BBY_TM.pdf,https://drive.google.com/file/d/1VuemliEaENM5sntuqVIx-MyrV8b92veU/view?usp=drivesdk,
LK/088/GND/00/BBY/TM,Maju Salah Mundur Salah,2000,Gunadi,90 x 100 cm,Mixmedia di atas kanvas,TANDA MATA II,C09-2,"Karya ini mempertegas kecenderungan mutakhir perkembangan seni lukis modern yang banyak menampilkan tema-tema seputar komentar sosial-politik, karikatural dan acapkali menggunakan idiom-idiom lokal. Dengan warna gelap, tema karya semacam ini sering disebut sebagai ""seni mutilasi"" yang memotong tubuh manusia dalam adegan-adegan yang terkadang menyeramkan.",/TM-Low/LK088GND00BBYTM.jpeg,LK_088_GND_00_BBY_TM.pdf,https://drive.google.com/file/d/10bC5gNiVp9M6YD4PUECLsUgAKx76OF7M/view?usp=drivesdk,
LK/089/SUP/99/BBY/TM,Goro-Goro,1999,Supantono,110 x 130 cm,Cat minyak di atas kanvas,TANDA MATA II,C09-2,,/TM-Low/LK089SUP99BBYTM.jpeg,LK_089_SUP_99_BBY_TM.pdf,https://drive.google.com/file/d/17BrIJr-kbIzBh2sZwSqL4KMrBldmbs7g/view?usp=drivesdk,
LK/090/YSA/99/BBY/TM,Melihat dari Balik Pagar,1999,Yaksa Agus,80 x 110 cm,Cat minyak di atas kanvas,TANDA MATA II,C10-1,,/TM-Low/LK090YSA99BBYTM.jpeg,LK_090_YSA_99_BBY_TM.pdf,https://drive.google.com/file/d/1-egjsTOmIBu632Du1ng4jdQUdpHjLjOy/view?usp=drivesdk,
LK/091/SVO/99/BBY/TM,Masih Ada yang Hijau,1999,Sovi Oktaviani,50 x 45 cm,Cat minyak di atas kanvas,TANDA MATA II,C11-2,,/TM-Low/LK091SVO99BBYTM.jpeg,LK_091_SVO_99_BBY_TM.pdf,https://drive.google.com/file/d/1B9s7aUjWrlln07vGvNXYmtCpIXxpvcjJ/view?usp=drivesdk,
LK/092/TFA/00/BBY/TM,Perahu Rumah,2000,Tommy Faisal Alim,80 x 100 cm,Akrilik di atas kanvas,TANDA MATA II,C10-1,,/TM-Low/LK092TFA00BBYTM.jpeg,LK_092_TFA_00_BBY_TM.pdf,https://drive.google.com/file/d/19Bx10bwPR_QVJ4BxQ4Gp6rhQ8-gD5a0u/view?usp=drivesdk,
LK/093/DJS/00/BBY/TM,Pagi yang Dingin,2000,Djoeari Subardja,87 x 87 cm,Cat minyak di atas kanvas,TANDA MATA II,C10-1,,/TM-Low/LK093DJS00BBYTM.jpeg,LK_093_DJS_00_BBY_TM.pdf,https://drive.google.com/file/d/1mnsDikvU_jL16-Uf-A4z_kt-L65YBKYF/view?usp=drivesdk,
LK/094/APN/00/BBY/TM,Sun Rise,2000,Agus Purnomo,150 x 130 cm,Akrilik di atas kanvas,TANDA MATA II,C10-2,,/TM-Low/LK094APN00BBYTM.jpeg,LK_094_APN_00_BBY_TM.pdf,https://drive.google.com/file/d/1uUg-FrN_G9bkFPSGq5sqdKuTRPJM_bPc/view?usp=drivesdk,
LK/095/JNR/00/BBY/TM,Making Love,2000,Januri,80 x 100 cm,Akrilik di atas kanvas,TANDA MATA II,C11-1,Pada sebidang kanvas digambarkan sejoli berpelukan dengan potongan-potongan mosaik warna membentuk dan membalut dua sosok tersebut. Komposisi warna diterapkan dengan warna primer dibenturkan dengan warna gelap.,/TM-Low/LK095JNR00BBYTM.jpeg,LK_095_JNR_00_BBY_TM.pdf,https://drive.google.com/file/d/1PIJhKIf3KlmEhlvWLvg299umsTlmVgBL/view?usp=drivesdk,
LK/096/HPM/00/BBY/TM,Wanita Pemberani,2000,Heri Pemad,100 x 80 cm,Akrilik di atas kanvas,TANDA MATA II,C10-2,,/TM-Low/LK096HPM00BBYTM.jpeg,LK_096_HPM_00_BBY_TM.pdf,https://drive.google.com/file/d/1iZCv9le1zBobhPLxja5eDA7GDs4IxuXV/view?usp=drivesdk,
LK/097/IGN/00/BBY/TM,Yang Terpenjara,2000,IG Ngh. Udiantara,110 x 100 cm,Mixmedia di atas kanvas,TANDA MATA II,C10-2,"Lukisan ini menunjukkan kekuatan Udiantara mengolah tema-tema surealistik dalam gaya lukis yang sepintas terkesan abstrak dan dekoratif. Hadirnya sosok manusia, binatang, atau pohonan yang seringkali mungil di tengah bidang-bidang berwarna gelap dan datar menyiratkan sebuah pengembaraan mistis di alam raya. Kali ini, berbagai makhluk yang serba kecil dibanding alam yang luas itu, hadir saling berjauhan bahkan terpenjara. Belakangan, lukisan Udiantara makin dipenuhi sosok manusia yang serba terdeformasi, menyerupai makhluk ajaib, yang kadang mengerikan kadang menggelikan.",/TM-Low/LK097IGN00BBYTM.jpeg,LK_097_IGN_00_BBY_TM.pdf,https://drive.google.com/file/d/1CYaqsvXbax1A6l4HPWweOuX4S6bdd62e/view?usp=drivesdk,
LK/098/HSS/96/BBY/TM,Ingin Sesuatu,1996,Hadi Soesanto,73 x 53 cm,Cat minyak di atas kanvas,TANDA MATA II,C10-1,"Ketrampilan Hadi melukis realis dapat dilihat dari teknik yang digunakan dalam karya ini. Ini gabungan antara efek realisme dengan penggambaran grafiti pada coretan anak di dinding tembok dengan sebuah bingkai seolah melayang dengan bayangan di tembok, menjadikan karyanya unik dari segi pilihan tema dan ketrampilan teknisnya. Karakter karyanya cenderung naif, lugu, jujur, terkadang menampilkan tema-tema yang nakal.",/TM-Low/LK098HSS96BBYTM.jpeg,LK_098_HSS_96_BBY_TM.pdf,https://drive.google.com/file/d/1PPAxy8AjbzvtJpV0ZSQhE-i_N6iYyJno/view?usp=drivesdk,
LK/099/NCS/00/BBY/TM,Pohon Kehidupan,2000,Nico Siswanto,100 x 80 cm,Cat minyak di atas kanvas,TANDA MATA II,C11-1,,/TM-Low/LK099NCS00BBYTM.jpeg,LK_099_NCS_00_BBY_TM.pdf,https://drive.google.com/file/d/1S1mJ0ffERHk-21IWzFErIAFXPfmZxWlH/view?usp=drivesdk,
LK/100/ASR/00/BBY/TM,Koma Wurung,2000,Agus Sahri,80 x 60 cm,Cat minyak di atas kanvas,TANDA MATA II,D08-2,,/TM-Low/LK100ASR00BBYTM.jpeg,LK_100_ASR_00_BBY_TM.pdf,https://drive.google.com/file/d/1tqB5k5NkjUXzZMABQCaBa6VfJYRMD8vV/view?usp=drivesdk,
LK/101/MAP/01/BBY/TM,Patik (Hamba Sahaya),2001,I Made Arya Palguna,140 x 80 cm,Cat minyak di atas kanvas,TANDA MATA II,C11-1,"Masih dalam alur corak lukis dekoratif yang jadi salah satu kekuatan seni lukis modern Yogya dan Bali, lukisan ini menampilkan sosok seorang patik yang bersila di lantai. Penggubahan anatomi tubuh sang patik menjadi bidang yang melengkung dan gembung dikontraskan dengan bidang datar dan berwarna terang di latar belakang menjadi pokok utama komposisi lukisan ini.",/TM-Low/LK101MAP01BBYTM_I.jpeg,LK_101_MAP_01_BBY_TM.pdf,https://drive.google.com/file/d/1QdWeJ2J3YBjmbwpnC0WsVkNyOQ4zgqJV/view?usp=drivesdk,
LK/102/EHR/00/BBY/TM,Elephant and Hitler,2000,Eddie haRa,80 x 60 cm,Cat minyak di atas kanvas,TANDA MATA II,C11-1,"Perupa Eddie haRa adalah jenis perupa pengelana yang gemar berkeliling dunia. Karyanya menggambarkan sejenis makhluk ajaib dari negeri antah-berantah dalam struktur deformasi yang radikal. Hidung panjang mirip belalai gajah, mata pada posisi tidak simetris dan mulut yang terbuka, memberi impresi sekeping whimsy, lelucon yang aneh. Eddi Hara adalah salah seorang pendobrak gaya yang muncul dari ISI Yogyakarta, yang banyak menyerap pengaruh dari kelompok Cobra dan kemudian mencari gaya dan corak lukisnya sendiri yang khas Eddie haRa.",/TM-Low/LK102EHR00BBYTM.jpeg,LK_102_EHR_00_BBY_TM.pdf,https://drive.google.com/file/d/1Om8Aycv2oday2lYTyBarzSjK59EhF4aS/view?usp=drivesdk,
LK/103/KDF/01/BBY/TM,Sign of Love,2001,Kadafi,125 x 100 cm,Cat minyak di atas kanvas,TANDA MATA III,C11-1,"Cinta, pastilah tak hanya menggugah pencipta lagu dan puisi, tapi juga perupa. Lukisan ini memang bertutur tentang cinta. Tapi kali ini mungkin tidak sekedar keriangan cinta tapi juga kegetiran. Atau sekedar permainan cinta? Perhatikan citra dan lambang yang tersaji: kartu As merah hati, anggur yang tumpah, juga tirai hitam terawang yang membatasi pandang.",/TM-Low/LK103KDF01BBYTM.jpeg,LK_103_KDF_01_BBY_TM.pdf,https://drive.google.com/file/d/1DqbU4fFH0Bp_GjIaTK1MWOdtMUCOv-F6/view?usp=drivesdk,
LK/104/MTM/01/BBY/TM,Persembahan kepada Alam,2001,I Made Toris Mahendra,150 x 200 cm,Cat minyak di atas kanvas,TANDA MATA III,C11-2,"Karya lukisnya yang bercorak abstrak sering dicirikan dengan ramainya sulur-sulur menyerupai selendang, dalam garis-garis berwarna hitam-putih. Ini adalah kelanjutan motif kain 'poleng' yang jadi simbol kesucian dan keseimbangan yang dikenal akrab dalam tradisi ritual masyarakat Bali. Jadi, meskipun secara sepintas terkesan abstrak, ada banyak aspek rupa dalam karya I Made Toris Mahendra-di samping judul-judul karyanya--yang bisa terlihat sebagai jejak hadirnya tema-tema kehidupan ritual masyarakat Bali.",/TM-Low/LK104MTM01BBYTM.jpeg,LK_104_MTM_01_BBY_TM.pdf,https://drive.google.com/file/d/1E248dRbUQWminnEvlys_xXs9me-vPFIY/view?usp=drivesdk,
LK/105/FBA/01/BBY/TM,Perang Suci,2001,Fibri Andriyanto,150 x 100 cm,Cat minyak di atas kanvas,TANDA MATA III,C12-2,"Dengan pembagian ruang menjadi bidang-bidang yang terisi warna silih gelap-terang berganti, lukisan ini terkesan kubistik. Suasana perang hadir melalui sosok hijau menyeramkan, dengan senjata cakra yang mengeluarkan api berkobar, tampak begitu bernafsu menghancurkan sosok torso yang mengeluarkan uap putih itu. Lukisan ini tampak ingin bertutur tentang 'perang suci' dalam diri manusia. Atau, inilah ironi kesadaran dan iman manusia, seperti terbaca pada sisi kanan kanvas: imajinasi berusaha mencari Tuhan tapi tercipta setan.",/TM-Low/LK105FBA01BBYTM.jpeg,LK_105_FBA_01_BBY_TM.pdf,https://drive.google.com/file/d/17Qx5fru4svo-1z3baXKBa04WeFKCTkb5/view?usp=drivesdk,
LK/106/WWR/01/BBY/TM,Diktator Baru,2001,I Wayan Wirawan,140 x 120 cm,Mixmedia di atas kanvas,TANDA MATA III,C17-1,"Ini tentulah sebuah tuturan satir yang terang, tentang penguasa, tentang 'pemimpin', yang serba rakus, kejam, penuh tipu muslihat, dan omong kosong. Tokoh dan rejim bisa berganti, tapi tidak berarti perbaikan keadaan. Ini memang sosok dan watak, sekaligus pengalarnan sosial, yang tak asing bagi kita di Indonesia.",/TM-Low/LK106WWR01BBYTM.jpeg,LK_106_WWR_01_BBY_TM.pdf,https://drive.google.com/file/d/1hInCJqkAm09Wf3q94DWQVdwoK9APbfS8/view?usp=drivesdk,
LK/107/NTA/01/BBY/TM,Panutan,2001,I Nyoman Triarta AP,145 x 200 cm,Akrilik di atas kanvas,TANDA MATA III,C12-1,,/TM-Low/LK107NTA01BBYTM.jpeg,LK_107_NTA_01_BBY_TM.pdf,https://drive.google.com/file/d/1ke88QxE7ZTbziguXDVZ3j1wK4I5zUanQ/view?usp=drivesdk,
LK/108/ETG/01/BBY/TM,Potret Diri di dalam Area Kuning,2001,Entang Wiharso,"101,5 x 76 cm",Akrilik/pensil di atas kertas,TANDA MATA III,C17-1,,/TM-Low/LK108ETG01BBYTM.jpeg,LK_108_ETG_01_BBY_TM.pdf,https://drive.google.com/file/d/1FClUYe7i6x8BxPPyFkbaPkiscx66Tzrh/view?usp=drivesdk,
LK/109/YNE/01/BBY/TM,Teriakan,2001,Januar Ernawati,70 x 80 cm,Cat minyak di atas kanvas,TANDA MATA III,C13-1,"Pelukis ini masuk dalam jajaran ""Generasi Baru"" perempuan perupa Indonesia menurut buku Indonesian Heritage: Visual Art (Editions Didier Millet, 2003), bersama Murniasih, Erica Hestu Wahyuni, Bunga Jeruk, dan lain-lain. Tak jarang, dapat terbaca kehadiran 'perspektif feminisme' dalam karya mereka, melalui pencitraan seksualitas yang melibatkan tubuh (perempuan) sebagai penanda wacana identitas. Dalam lukisan ini, ada suasana erotik yang hadir melalui dua sosok yang tampak saling bertaut. Selebihnya, kesan abstraksi ruang dimunculkan melalui pemilahan bidang-bidang warna seperti yang lazim hadir dalam gaya lukis kubisme.",/TM-Low/LK109YNE01BBYTM.jpeg,LK_109_YNE_01_BBY_TM.pdf,https://drive.google.com/file/d/1A1xJZcfBkAdqrQW9cEkpgUFMTzZAEWAt/view?usp=drivesdk,
